Artist,Title,Date,Period,Description,Material,Dimensions,Collection,Classification,Signature,Accession Number,link,Alternative Title,Place Made
Andrew P. W. Conkie,Unknown,1958,1950s,Semi-abstracted print of figure on left reaching towards large bird,paper (fibre product); ink/coating (material)/materials (substances),29.5cm (W) x 22.5cm (H),Edinburgh College of Art; Art Collection,prints (visual works); lithographs,NA,EU3452,https://collections.ed.ac.uk/art/record/50526?highlight=*:*,NA,NA
Andrew P. W. Conkie,Unknown,1958,1950s,Semi-abstracted scene with two crowned figures on the left and a crucified figure on the right,graphite (mineral)/inorganic material/materials (substances),24cm (W) x 17.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3451,https://collections.ed.ac.uk/art/record/50525?highlight=*:*,NA,NA
Andrew P. W. Conkie,Standing Male Nude,1958,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3272,https://collections.ed.ac.uk/art/record/22716?highlight=*:*,NA,NA
Andrew P. W. Conkie,Unknown,1957,1950s,Head and shoulders portrait of male figure in profile,charcoal (material)/plant material/materials (substances),23.5cm (W) x 29.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,NA,EU3448,https://collections.ed.ac.uk/art/record/50522?highlight=*:*,NA,NA
Andrew P. W. Conkie,Unknown,1957,1950s,Head and shoulders portrait of female figure. Head in profile with hair tied up in bun and large earrings,graphite (mineral)/inorganic material/materials (substances),13.5cm (W) x 17.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3449,https://collections.ed.ac.uk/art/record/50523?highlight=*:*,NA,NA
Andrew P. W. Conkie,Unknown,1958,1950s,Semi-abstracted drawing of three figures with buildings in background,graphite (mineral)/inorganic material/materials (substances),24cm (W) x 16cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3450,https://collections.ed.ac.uk/art/record/50524?highlight=*:*,NA,NA
Andrew Parkinson,Unknown,NA,20th century,Cove with two large cliffs on either side,charcoal (material)/plant material/materials (substances),42cm (W) x 53.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); charcoal drawings,NA,EU3336,https://collections.ed.ac.uk/art/record/50410?highlight=*:*,NA,NA
Andrew Parkinson,Untitled,Unknown,NA,Charcoal landscape,NA,62.1cm H x 44.3cm W (with mount) 52.3xm H x 35cm W (without mount),Art Collection; Edinburgh College of Art,drawings (visual works),A. Parkinson on mount,EU2507,https://collections.ed.ac.uk/art/record/21632?highlight=*:*,NA,NA
Andrew Raeburn,Untitled,1963,20th century; 1960s,Portrait of a man wearing chefs clothing,paint (coating); paper (fibre product),64cm H x 47cm W,Art Collection; Edinburgh College of Art,paintings (visual works),"Artists name, course and date are written in the bottom right hand corner of the border ""Andrew Raeburn. D/P. 1963""",EU2901,https://collections.ed.ac.uk/art/record/22018?highlight=*:*,NA,NA
Andrew Restall,Seated Female Nude,1953,20th century; 1950s,Gained his Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1819,https://collections.ed.ac.uk/art/record/20946?highlight=*:*,NA,NA
Andrew Restall,Portrait of a Man,1953,20th century; 1950s,Gained a Diploma in 1953 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1818,https://collections.ed.ac.uk/art/record/20945?highlight=*:*,NA,NA
Andrew Smith,Portrait of a Woman,1958,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2021,https://collections.ed.ac.uk/art/record/21148?highlight=*:*,NA,NA
Andrew Smith,Study for Life Painting,1958,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2022,https://collections.ed.ac.uk/art/record/21149?highlight=*:*,NA,NA
Angus C. A. Hood,Untitled - Two Chefs,1984-1985,20th century; 1980s,"Painting in gouache with details in graphite on textured paper of two male chefs, one sitting, on standing, with a table of bowls.",gouache (paint)/watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); pencil drawings; paintings (visual works); paintings 1901-2000; watercolours (paintings); gouache,NA,EU4193,https://collections.ed.ac.uk/art/record/99429?highlight=*:*,NA,NA
Angus C. A. Hood,Seated Figure Reading Newspaper,NA,NA,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic,NA,EU3165,https://collections.ed.ac.uk/art/record/22610?highlight=*:*,NA,NA
Ann F Ward,Untitled - Print of Figures Lying in a Garden,1962,20th century; 1960s,Black and white copper engraving print of a garden with abstract and stylised trees with a nude male and nude female figure lying under the central tree.,paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,engravings (prints); prints (visual works); print 1940-2000,NA,EU4101,https://collections.ed.ac.uk/art/record/99337?highlight=*:*,NA,NA
Ann F Ward,Prendre la clef des Chaps,1963,20th century; 1960s,"Black and white copper engraving abstract print of various keys, locks and hinges.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,engravings (prints); prints (visual works); print 1940-2000,'copper engraving' - written in bottom centre.,EU4110,https://collections.ed.ac.uk/art/record/99346?highlight=*:*,NA,NA
Ann F Ward,Untitled - Two Apes Sun Bathing,1963,20th century; 1960s,"Black and white copper engraving of two apes with a swim cap, hat, and sun umbrella sun bathing at the beach with sailboats in the distance.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,engravings (prints); prints (visual works); print 1940-2000,NA,EU4111,https://collections.ed.ac.uk/art/record/99347?highlight=*:*,NA,NA
Ann F Ward,Sweden - boats tied up at quayside,1963,20th century; 1960s,Abstract black and white print of boats in Sweden tied up at the harbour receding towards the background.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4112,https://collections.ed.ac.uk/art/record/99348?highlight=*:*,NA,NA
Ann F Ward,Untitled - Birdcage and Baby,1963,20th century; 1960s,"Print in orange, red, green, and grey of a house interior with a bird cage sitting on a table with a chequered cloth and a baby playing on the floor in the background.",Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4113,https://collections.ed.ac.uk/art/record/99349?highlight=*:*,NA,NA
Ann F Ward,Untitled - Abstract Still Life of Flowers and Fruit,1963,20th century; 1960s,Abstract print of a still life with a bowl of fruit and two vases with flower arrangments on a stripped tabel cloth.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; still lifes; Abstract (fine arts style),NA,EU4115,https://collections.ed.ac.uk/art/record/99351?highlight=*:*,NA,NA
Ann F Ward,Untitled - Cubist Guitar Player,1963,20th century; 1960s,"Print in blue orange, green, black and white of a guitar player that resembles Piccasso and Braque's cubist works.",Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; Abstract (fine arts style),NA,EU4114,https://collections.ed.ac.uk/art/record/99350?highlight=*:*,NA,NA
Ann F Ward,Untitled - Semi-Nude Woman Combing Her Hair,1961-1962,20th century; 1960s,"Print in orange, blue, bton, and cream of a young semi-nude woman cobming her long hair surounded by flowers with a cupid watching from behind.",Print,Measured without frame as it is so large. Measurement with frame is - 64cmx52cm,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,It looks like there may be signatures under the frame the print is mounted to.,EU4117,https://collections.ed.ac.uk/art/record/99353?highlight=*:*,NA,NA
Ann F Ward,Untitled - Scene with Figures Relaxing in the Sun,1961-1962,20th century; 1960s,"Print in orange, yello, brown, and white with various figures of men and women sitting and standing while relaxing in the sun.",Print,Measured without frame as it is so large. Measurement with frame is - 64cmx52cm,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,It looks like there may be signatures under the frame the print is mounted to.,EU4116,https://collections.ed.ac.uk/art/record/99352?highlight=*:*,NA,NA
Ann F Ward,Seated Woman,Circa 1961,20th century; 1950s; 1960s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2228,https://collections.ed.ac.uk/art/record/21354?highlight=*:*,NA,NA
Ann F Ward,Untitled - Three Figures At the Opera,1963,20th century; 1960s,Black and white print of a bearded man in a tuxedo and two woman who are looking down from their box seat on the opera while reading the programme.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4108,https://collections.ed.ac.uk/art/record/99344?highlight=*:*,NA,NA
Ann F Ward,Untitled - Men and Fishing Nets,1963,20th century; 1960s,Black and white copper engraving of a fishing boat covered with different types of fishing nets with men at work.,paper (fibre product),NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; men (male humans); engravings (prints); net fishing vessels,NA,EU4109,https://collections.ed.ac.uk/art/record/99345?highlight=*:*,NA,NA
Ann F Ward,Reflections on métro at 7.13 am,1963,20th century; 1960s,Black and white print of an old woman in a hooded coat and tights sitting on the metro and screaming in front of a darkened background with abstract and mysterious shapes.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4103,https://collections.ed.ac.uk/art/record/99339?highlight=*:*,NA,NA
Ann F Ward,La Messe de Minuit - Église St Eustache,1963,20th century; 1960s,Black and white print of mass at the Church of St Eustache in Paris with a veiled woman in profile in the front and sitting woman behind her on the left.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4106,https://collections.ed.ac.uk/art/record/99342?highlight=*:*,NA,NA
Ann F Ward,Sweden - Fishing for Str⁯ömming,1962,20th century; 1960s,Black and white print of three figures on a sitting on a boat with a village in the distance tyring to catch herring as sun rays shine on them.,Print,NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000,NA,EU4102,https://collections.ed.ac.uk/art/record/99338?highlight=*:*,NA,NA
Ann F Ward,Untitled - Paris cityscape with Two Cranes,1963,20th century; 1960s,Black and white engraving & drypoint print of a view of Paris from above with two cranes on the left and right cutting across the image creating an asymmetrical composition.,paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; cityscapes (representations); engravings (prints); etchings (prints); drypoint,NA,EU4107,https://collections.ed.ac.uk/art/record/99343?highlight=*:*,NA,NA
Ann F Ward,Aux cinq billiards,1963,20th century; 1960s,"Black and white sotf-ground etching, mezzotin print of a woman in an apron sweeping in a bar with another figure facing away on the right.",paper (fibre product),NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; mezzotints (prints); etchings (prints),"at the bottom centre and repeated in the bottom left is - 'soft-ground etching, mezzotint'. 'AFW' written upside down in bottom right corner of print.",EU4104,https://collections.ed.ac.uk/art/record/99340?highlight=*:*,NA,NA
Ann F Ward,"Marché, rue Mouffetard",1963,20th century; 1960s,"Black and white etching & engraving print of a street market with various tents filled with fish, fruit, and bread, on the left two women chat after buying bread as three other figures examine the wares.",paper (fibre product),NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; street scenes; engravings (prints); etchings (prints),'Etching & Engraving' - written in bottom centre.,EU4105,https://collections.ed.ac.uk/art/record/99341?highlight=*:*,NA,NA
Ann F Ward,Untitled - Print of Dining Table with Window,1962,20th century; 1960s,Black and white etching and engraving print of a dining room table set with wine glasses in front of a large window looking out at the house next door.,paper (fibre product),NA,Art Collection; Edinburgh College of Art,fine art; prints (visual works); print 1940-2000; engravings (prints); etchings (prints),NA,EU4100,https://collections.ed.ac.uk/art/record/99336?highlight=*:*,NA,NA
Ann Forbes,Portrait of a Seated Woman,1958,20th century; 1950s,Gained her Diploma in 1958 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1985,https://collections.ed.ac.uk/art/record/21112?highlight=*:*,NA,NA
Ann Forbes,Portrait of a Woman,1958,20th century; 1950s,Gained her Diploma in 1958 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1986,https://collections.ed.ac.uk/art/record/21113?highlight=*:*,NA,NA
Ann Macmillan,Portrait of a Young Man,1960,20th century; 1960s,Gained her Diploma in 1960 from ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1861,https://collections.ed.ac.uk/art/record/20988?highlight=*:*,NA,NA
Ann Oram (b.1956),Sienna Cathedral,1982,20th century; 1980s,NA,paper (fibre product); oil paint (paint)/paint (coating); watercolour (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU4822,https://collections.ed.ac.uk/art/record/102660?highlight=*:*,NA,NA
Anna Bjorkman,Untitled,Unknown,NA,Five layered screenprint of pink and green abstract forms.,Print,NA,Art Collection; Art Collection; Edinburgh College of Art,screen prints,Edition 4/4,EU5191,https://collections.ed.ac.uk/art/record/99963?highlight=*:*,NA,NA
Anna Chapman,Untitled,Unknown,NA,Abstract landscape with two red foxes. Second year MAFA work.,NA,50cm H x 59.2 cm W,Art Collection; Edinburgh College of Art,prints (visual works),Anna Chapman signature,EU2478,https://collections.ed.ac.uk/art/record/21603?highlight=*:*,NA,NA
Anna Millar,Black Bodice,1996,20th century; 1990s,NA,acrylic paint/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); acrylic; still lifes,NA,EU3167,https://collections.ed.ac.uk/art/record/22612?highlight=*:*,NA,NA
Anna Millar,Mannequin,NA,NA,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works); still lifes,NA,EU3183,https://collections.ed.ac.uk/art/record/22628?highlight=*:*,NA,NA
Anna Millar,Nude in Veil,NA,NA,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,paintings (visual works); oil paintings (visual works),NA,EU3192,https://collections.ed.ac.uk/art/record/22637?highlight=*:*,NA,NA
Anna Richardson,Untitled,Unknown,NA,Lithograph of a church,NA,76cm H x 56.5cm W,Art Collection; Edinburgh College of Art,NA,Anna Richardson signature,EU2814,https://collections.ed.ac.uk/art/record/21937?highlight=*:*,NA,NA
Anna Warsop,Aerial,2007,2000s,"Aquatint of repeating geometric forms, aerial view of farmland and fields.",paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,aquatints,Edition 4/20,EU5131,https://collections.ed.ac.uk/art/record/99904?highlight=*:*,NA,NA
Annabel Keatley,Untitled,Unknown,NA,Abstract landscape,NA,108.7cm H x 68.4cm W,Art Collection; Edinburgh College of Art,prints (visual works),Annabel Keatley signature.,EU2484,https://collections.ed.ac.uk/art/record/21609?highlight=*:*,NA,NA
Annabel Keatley,Untitled,May 1987,20th century; 1980s,Abstract print. Third year printmaking,NA,53.6cm H x 78cm W,Art Collection; Edinburgh College of Art,prints (visual works); lithographs,NA,EU2443,https://collections.ed.ac.uk/art/record/21568?highlight=*:*,NA,NA
Anne Anderson,Unknown,1947,1940s,"Seated female figure viewed from right, left elbow resting on left leg and wearing a long collared dress",Pen and Wash/Drawing,23cm (W) x 36.8cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pen and wash drawings,NA,EU3455,https://collections.ed.ac.uk/art/record/50529?highlight=*:*,NA,NA
Anne E Jones,Untitled - Wheatfield in Ink,1963,1960s; 20th century,Pen and ink drawing of wheat in golden and rich dark browns with larger abstract strokes and smaller details in pen.,paper (fibre product); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,drawings (visual works); drawings 1901-2000; pen and wash drawings; ink; drawings 1901-2000,NA,EU4017,https://collections.ed.ac.uk/art/record/99257?highlight=*:*,NA,NA
Anne Lynch,Untitled,1969,NA,Painting of trees on yellow and green ground.,paint (coating),28.2cm H x 28.8cm W,Art Collection; Edinburgh College of Art,paintings (visual works),"Bottom left of border there is a blue circle sticker and college stamp. Written in pen in the bottom right of the border is the artist’s name, course initials and date made. In the bottom right corner in pencil is the artists surname and date, with the course initials written in pen underneath.",EU2951,https://collections.ed.ac.uk/art/record/22492?highlight=*:*,NA,NA
"Anne Redpath (Scottish b.1895, d.1965) VIAF LC",Still Life with Peonies,NA,20th century,NA,oil paint (paint)/paint (coating); hardboard/wood board/plant material/materials (substances),61 x 92 cm,Art Collection; Edinburgh College of Art,oil paintings (visual works); still lifes; paintings 1901-2000,NA,EU1619,https://collections.ed.ac.uk/art/record/20746?highlight=*:*,NA,NA
"Anne Redpath (Scottish b.1895, d.1965) VIAF LC",Life Painting,1918,20th century; 1910s,NA,canvas (textile material)/textile materials/materials (substances); oil paint (paint)/paint (coating),40 x 50 cm,Art Collection; Edinburgh College of Art,oil paintings (visual works); life drawings; paintings 1901-2000,NA,EU1608,https://collections.ed.ac.uk/art/record/20735?highlight=*:*,NA,NA
Anne Slater,Untitled,Unknown,NA,Etching of a woman sitting on a beach with swans.,paper (fibre product),40.6cm H x 55.9cm W (with mount) 23.5cm H x 29cm W (without mount),Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),Anne Slater signature,EU2672,https://collections.ed.ac.uk/art/record/21797?highlight=*:*,NA,NA
Anne Weddell,Untitled,1990-1991,20th century; 1990s,"Large black ink print of two naked figures. One in the foreground facing to the front and the other in the background, faces to the side",NA,76.3cm (H) x 56.8cm (W),Art Collection; Edinburgh College of Art,prints (visual works),"Artist name, course year and title, date print was made: Anne Weddell, 2nd D&P (2nd year Drawing and Painting), 1990-91",EU2859,https://collections.ed.ac.uk/art/record/21977?highlight=*:*,NA,NA
Annette G B Ronald,Reclining Male Nude,1952,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1690,https://collections.ed.ac.uk/art/record/20817?highlight=*:*,NA,NA
Annette G B Ronald,Portrait of a Woman in a Green-Checked Blouse,1952,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3254,https://collections.ed.ac.uk/art/record/22698?highlight=*:*,NA,NA
Annette Kierulf,Face Value,2007,2000s,"Woodcut in pink and red depicting a cartoon like character, with the title 'Face Value' seen in he bottom segment. Woodcut made up of 5 individual tiles.",woodcut,NA,Art Collection; Edinburgh College of Art,woodcuts (prints),Edition 1/15,EU5129,https://collections.ed.ac.uk/art/record/99902?highlight=*:*,NA,NA
Anthony Benjamin,3.a Clarendon serif,NA,NA,From the 'Transatlantic Quartet' series of 8 prints,NA,80cm W x 110cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); screen prints,NA,EU2545,https://collections.ed.ac.uk/art/record/21670?highlight=*:*,NA,NA
Anthony Benjamin,2. (a) Baskerville Serif,Unknown,NA,From the 'Transatlantic Quartet' series,NA,80cm W x 110cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Anthony Benjamin signature,EU2544,https://collections.ed.ac.uk/art/record/21669?highlight=*:*,NA,NA
Anthony Benjamin,1.(a) Meccarama Serif,Unknown,NA,From the 'Transatlantic Quartet' series of 8 prints.,NA,80cm W x 110H,Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Anthony Benjamin,EU2543,https://collections.ed.ac.uk/art/record/21668?highlight=*:*,NA,NA
Anthony Benjamin,1. Meccarama,Unknown,NA,From the 'Transatlantic Quartet' series of 8 prints,NA,80cm W x 110cm H framed,Art Collection; Edinburgh College of Art,prints (visual works); screen prints,Anthony Benjamin signature,EU2542,https://collections.ed.ac.uk/art/record/21667?highlight=*:*,NA,NA
Anthony Gross,Goats Feeding,1974,20th century; 1970s,Tribal Print 2/5. Featured in the English Artists Exhibition 1974.,NA,"10""x17""",Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),Anthony Gross signature,EU2623,https://collections.ed.ac.uk/art/record/21748?highlight=*:*,NA,NA
Anthony J Valentine,Untitled - Portrait of a Man in a Hat,1963,20th century; 1960s,"Drawing in conte and charcoal of a portrait of a man with a strong angular nose and face, wearing a hat.",Conté/Drawing,NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; charcoal drawings; pastel,NA,EU4205,https://collections.ed.ac.uk/art/record/99441?highlight=*:*,NA,NA
Anthony J Valentine,"Untitled - Abstract Orange, Blue, and Brown Shapes",1963,20th century; 1960s,"Abstract print in oranges, blues, and browns of organic shapes layered on top of each other.",Conté/Drawing,NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); prints (visual works),NA,EU4206,https://collections.ed.ac.uk/art/record/99442?highlight=*:*,NA,NA
Antonio Marcos Martin,Untitled,2001,21st century; 2000s,"An onion, two walnuts and root vegetables",NA,63cm H x 91cm W,Art Collection; Edinburgh College of Art,NA,Antonio Marcos Martin signature,EU2798,https://collections.ed.ac.uk/art/record/21921?highlight=*:*,NA,NA
Arabella Harvey,Untitled,1995-1996,20th century; 1990s,Reclining female nude,NA,77.6cm H x 56.5cm W (with mount) 70cm H x 49.7cm W (without mount),Art Collection; Edinburgh College of Art,paintings (visual works),no signature. Arabella Harvey written on mount,EU2597,https://collections.ed.ac.uk/art/record/21722?highlight=*:*,NA,NA
Arabella Harvey,Untitled,1995-1996,20th century; 1990s,Portrait of a seated woman,NA,82.3cm H x 59.2cm W (with mount) 70.1cm H x 50cm W (without mount),Art Collection; Edinburgh College of Art,paintings (visual works),'Arabella Harvey M.A.I 95/96' on mount,EU2599,https://collections.ed.ac.uk/art/record/21724?highlight=*:*,NA,NA
Aristodemo Costoli,Head of Lorenzo de' Medici,Circa 1836; first mould,19th century; 1830s; 1840s,"Cast of an original: Painted terracotta bust of Lorenzo de' Medici, 1478/1521., Samuel Kress Coll, National Gallery of Art, Washington, USA, Attributed to Andrea del Verrochio and Orsini Benintendi. See National Gallery of Art website: http://www.nga.gov/fcgi-bin/tinfo_f?object=12189&detail=prov (accessed 17 February 2012).",Casting Plaster/plaster/coating (material)/materials (substances); Patina,NA,Art Collection; Edinburgh College of Art; Cast Collection,NA,NA,EU1414,https://collections.ed.ac.uk/art/record/20541?highlight=*:*,Bust of Lorenzo de' Medici,NA
Arlene Isbister,Untitled - Abstract Collage with Spheres,1988-1990,20th century; 1980s,"Abstract mixed media collage with paper, charcoal, paint, and graphite on paper of an organic figure surrounded by spherical shapes.",mixed media/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; Abstract (fine arts style); pencil drawings; charcoal drawings; paintings (visual works); mixed media works,"Inscription in bottom right on reverse, hard to decipher, but possibly its number",EU4235,https://collections.ed.ac.uk/art/record/99471?highlight=*:*,NA,NA
Arlene Isbister,Landscape,Circa 1988,20th century; 1980s; 13,NA,oil paint (paint)/paint (coating); canvas (textile material)/textile materials/materials (substances),NA,Art Collection; Edinburgh College of Art,Abstract (fine arts style),NA,EU3159,https://collections.ed.ac.uk/art/record/22604?highlight=*:*,NA,NA
Arthur J Baglee,Untitled - Self-Portrait,1968,20th century; 1960s,"A self-portrait of the artist in graphite, which captures the artist sitting backwards on a chair, facing the viewer, with drawing board.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pencil drawings; portrait; life drawings,NA,EU4145,https://collections.ed.ac.uk/art/record/99381?highlight=*:*,NA,NA
Arthur J Baglee,Untitled - Two Portraits of Girls,1967,20th century; 1960s,"A diptych with portraits of two girls in graphite, one with shoulder lenth hair and bangs and the other with the top half of her hair pulled back in a bun.",graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,fine art; drawings (visual works); drawings 1901-2000; pencil drawings; portrait; life drawings,There is another setech on the reverse,EU4144,https://collections.ed.ac.uk/art/record/99380?highlight=*:*,NA,NA
Asbjorn Hollerud,Woodland #4,2007,2000s,"Lithograph of a scrap car yard. This particular print focuses on 2 cars stacked on top of one another, with a california plate.",paper (fibre product); ink/coating (material)/materials (substances),NA,Edinburgh College of Art; Art Collection,lithographs,Edition 4/4,EU5125,https://collections.ed.ac.uk/art/record/99898?highlight=*:*,NA,NA
Ashley McCormick,Life Float and Boat,NA,NA,NA,paint (coating),NA,Art Collection; Edinburgh College of Art,paintings (visual works),NA,EU2352,https://collections.ed.ac.uk/art/record/21478?highlight=*:*,NA,NA
Asuka Ohsawa,Birds & Peonies,2002,2000s,Screenprint of cartoon birds hidden amongst a setting of peonie flowers,Print,NA,Art Collection; Art Collection; Edinburgh College of Art,screen prints,Edition 1/30,EU5168,https://collections.ed.ac.uk/art/record/99940?highlight=*:*,NA,NA
Audry Redpath,Unknown,NA,20th century,Standing figure with bag in yellow and red room,paint (coating); ink/coating (material)/materials (substances),32cm (W) x 44cm (H),Art Collection; Edinburgh College of Art,watercolours (paintings); ink; paintings 1901-2000,NA,EU3360,https://collections.ed.ac.uk/art/record/50434?highlight=*:*,NA,NA
B Clapperton,Standing Female Nude with a Stool,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1785,https://collections.ed.ac.uk/art/record/20912?highlight=*:*,NA,NA
B Clapperton,Standing Male Nude,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1784,https://collections.ed.ac.uk/art/record/20911?highlight=*:*,NA,NA
B Clapperton,Standing Female Nude,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,Pen and Wash/Drawing,NA,Art Collection; Edinburgh College of Art,NA,NA,EU1783,https://collections.ed.ac.uk/art/record/20910?highlight=*:*,NA,NA
B Clapperton,Portrait of a Man,1959,20th century; 1950s,Gained a Diploma in 1959 from ECA.,paper (fibre product); watercolour (paint)/paint (coating); ink/coating (material)/materials (substances),NA,Art Collection; Edinburgh College of Art,NA,NA,EU1782,https://collections.ed.ac.uk/art/record/20909?highlight=*:*,NA,NA
B. J. Chambers Crabtree,Unknown,1950,1950s,"Full length portrait of female figure in long dress with hands clasped, looking over right shoulder",graphite (mineral)/inorganic material/materials (substances),23cm (W) x 39.5cm (H),Art Collection; Edinburgh College of Art,drawings (visual works); pencil drawings,NA,EU3439,https://collections.ed.ac.uk/art/record/50513?highlight=*:*,NA,NA
B.R. Coode-Adams,Charlotte,1984,20th century; 1980s,Balck and white etching of a woman in a series of poses,NA,75cm H x 106cm W,Art Collection; Edinburgh College of Art,prints (visual works); etchings (prints),B.R. Coode-Adams signature,EU2475,https://collections.ed.ac.uk/art/record/21600?highlight=*:*,NA,NA
Ballantyne,Portrait of Seated Man,1956,20th century; 1950s,NA,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2053,https://collections.ed.ac.uk/art/record/21180?highlight=*:*,NA,NA
Ballantyne,Reclining Male Nude,1956,20th century; 1950s,Drawing for Diploma examination at ECA.,graphite (mineral)/inorganic material/materials (substances),NA,Art Collection; Edinburgh College of Art,pencil drawings,NA,EU2117,https://collections.ed.ac.uk/art/record/21244?highlight=*:*,NA,NA
Barbara C. Balmer,Self Portrait,1951,20th century; 1950s,NA,oil paint (paint)/paint (coating),NA,Art Collection; Edinburgh College of Art,NA,NA,EU3264,https://collections.ed.ac.uk/art/record/22708?highlight=*:*,NA,NA
