FID;OBJECTID;AmbulanceR;BikeAge_Gr;Bike_Age;Bike_Alc_D;Bike_Dir;Bike_Injur;Bike_Pos;Bike_Race;Bike_Sex;City;County;CrashAlcoh;CrashDay;Crash_Date;Crash_Grp;Crash_Hour;Crash_Loc;Crash_Mont;Crash_Time;Crash_Type;Crash_Ty_1;Crash_Year;Crsh_Sevri;Developmen;DrvrAge_Gr;Drvr_Age;Drvr_Alc_D;Drvr_EstSp;Drvr_Injur;Drvr_Race;Drvr_Sex;Drvr_VehTy;ExcsSpdInd;Hit_Run;Light_Cond;Locality;Num_Lanes;Num_Units;Rd_Charact;Rd_Class;Rd_Conditi;Rd_Config;Rd_Defects;Rd_Feature;Rd_Surface;Region;Rural_Urba;Speed_Limi;Traff_Cntr;Weather;Workzone_I;Location
491;492;No;40-49;49;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Rowan;No;;2008-07-07;Motorist Overtaking Bicyclist;9;Non-Intersection;01-07-01;0001-01-01T05:01:58-04:56;Motorist Overtaking - Undetected Bicyclist;311231;2008;C: Possible Injury;Residential;40-49;41;No;51-55 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Cloudy;No;0.0, 0.0
489;490;Yes;50-59;53;No;Not Applicable;C: Possible Injury;Non-Roadway;Black;Male;Goldsboro;Wayne;No;01-01-06;2008-07-05;Non-Roadway;20;Non-Roadway;01-07-01;0001-01-01T15:33:58-04:56;Non-Roadway;460910;2008;C: Possible Injury;Commercial;;;Missing;6-10 mph;Injury;/Missing;;;No;Yes;Daylight;Urban (>70% Developed);;2;Straight - Level;Public Vehicular Area;Wet;One-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Urban;;Missing;Rain;No;0.0, 0.0
492;493;Yes;25-29;25;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Indian Trail;Union;No;;2008-07-07;Motorist Right Turn / Merge;0;Intersection;01-07-01;0000-12-31T19:51:58-04:56;Motorist Right Turn - Same Direction;111213;2008;B: Evident Injury;Residential;25-29;27;No;41-45 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;0.0, 0.0
484;485;Yes;50-59;55;No;With Traffic;C: Possible Injury;Travel Lane;White;Female;Charlotte;Mecklenburg;No;01-01-03;2009-08-26;Motorist Left Turn / Merge;8;Intersection;01-08-01;0001-01-01T03:57:58-04:56;Motorist Left Turn - Opposite Direction;111212;2009;C: Possible Injury;Commercial;25-29;29;No;11-15 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.209854, -80.859726
488;489;Yes;50-59;55;No;Not Applicable;B: Evident Injury;Non-Roadway;Black;Male;Selma;Johnston;No;01-01-06;2009-08-29;Non-Roadway;12;Non-Roadway;01-08-01;0001-01-01T07:10:58-04:56;Non-Roadway;460910;2009;B: Evident Injury;Commercial;0-19;18;No;0-5 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);;2;Straight - Level;Public Vehicular Area;Water (Standing, Moving);Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Urban;;No Control Present;Clear;No;35.53418, -78.28645
495;496;Yes;10-Jun;10;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Cleveland;No;01-01-02;2009-08-04;Bicyclist Left Turn / Merge;16;Intersection-Related;01-08-01;0001-01-01T11:56:58-04:56;Bicyclist Left Turn - Same Direction;211221;2009;C: Possible Injury;Residential;30-39;38;No;41-45 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Mountains;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Cloudy;No;35.23506, -81.406166
497;498;Yes;25-29;29;No;Not Applicable;B: Evident Injury;Non-Roadway;Black;Male;Apex;Wake;No;01-01-04;2009-08-27;Bicyclist Failed to Yield - Midblock;16;Non-Intersection;01-08-01;0001-01-01T11:39:58-04:56;Bicyclist Ride Out - Other Midblock;363318;2009;B: Evident Injury;Commercial;50-59;54;No;16-20 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;35.732758, -78.85011
501;502;Yes;30-39;30;No;Facing Traffic;C: Possible Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Female;Charlotte;Mecklenburg;No;01-01-03;2009-09-02;Motorist Failed to Yield - Midblock;11;Non-Intersection;01-09-01;0001-01-01T06:42:58-04:56;Motorist Drive Out - Commercial Driveway / Alley;332322;2009;C: Possible Injury;Commercial;30-39;37;No;0-5 mph;O: No Injury;Black;Male;Van;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.246414, -80.752365
502;503;Yes;60-69;62;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Rocky Mount;Edgecombe;No;01-01-07;2009-07-19;Bicyclist Failed to Yield - Sign-Controlled Intersection;14;Intersection;01-07-01;0001-01-01T09:10:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2009;B: Evident Injury;Residential;;;Missing;21-25 mph;Injury;/Missing;;;No;Yes;Daylight;Mixed (30% To 70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Grooved Concrete;Coastal;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.930492, -77.79222
515;516;Yes;16-19;16;No;With Traffic;A: Disabling Injury;Bike Lane / Paved Shoulder;Black;Male;None - Rural Crash;Pitt;No;01-01-06;2009-08-08;Bicyclist Left Turn / Merge;13;Non-Intersection;01-08-01;0001-01-01T08:39:58-04:56;Bicyclist Left Turn - Same Direction;321221;2009;A: Disabling Injury;Residential;40-49;40;No;46-50 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.649757, -77.41619
534;535;Yes;40-49;46;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;Kill Devil Hills;Dare;No;01-01-06;2009-08-29;Motorist Right Turn / Merge;13;Intersection;01-08-01;0001-01-01T08:11:58-04:56;Motorist Right Turn - Same Direction;111213;2009;C: Possible Injury;Commercial;30-39;30;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);5 lanes;2;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Coarse Asphalt;Coastal;Urban;50 - 55  MPH;Stop And Go Signal;Clear;No;35.998623, -75.65205
536;537;Yes;40-49;48;Yes;With Traffic;B: Evident Injury;Travel Lane;Black;Male;None - Rural Crash;Wake;Yes;01-01-04;2009-09-24;Other / Unusual Circumstances;22;Non-Intersection;01-09-01;0001-01-01T17:47:58-04:56;Bicycle Only;311400;2009;B: Evident Injury;Farms, Woods, Pastures;;;Missing;41-45 mph;Injury;/Missing;;Passenger Car;No;Yes;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.600098, -78.87942
541;542;No;10-Jun;10;No;With Traffic;C: Possible Injury;Travel Lane;Black;Female;Charlotte;Mecklenburg;No;01-01-05;2009-09-11;Loss of Control / Turning Error;17;Intersection;01-09-01;0001-01-01T12:48:58-04:56;Motorist Turning Error - Left Turn;111111;2009;C: Possible Injury;Residential;60-69;67;No;11-15 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;Stop Sign;Clear;No;35.190487, -80.72908
546;547;Yes;40-49;49;No;With Traffic;B: Evident Injury;Travel Lane;White;Female;Carrboro;Orange;No;01-01-07;2009-09-13;Motorist Overtaking Bicyclist;7;Intersection;01-09-01;0001-01-01T02:43:58-04:56;Motorist Overtaking - Other /;111239;2009;B: Evident Injury;Residential;60-69;60;No;31-35 mph;O: No Injury;Black;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.92753, -79.093216
548;549;Yes;50-59;56;No;With Traffic;A: Disabling Injury;Travel Lane;White;Male;None - Rural Crash;Iredell;No;01-01-05;2009-09-25;Motorist Overtaking Bicyclist;13;Non-Intersection;01-09-01;0001-01-01T08:20:58-04:56;Motorist Overtaking - Misjudged Space;311232;2009;A: Disabling Injury;Residential;70+;;No;41-45 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.763615, -80.98644
549;550;No;20-24;24;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Charlotte;Mecklenburg;No;01-01-04;2009-09-17;Motorist Right Turn / Merge;17;Intersection;01-09-01;0001-01-01T12:06:58-04:56;Motorist Right Turn - Same Direction;111213;2009;B: Evident Injury;Commercial;30-39;30;No;31-35 mph;C: Possible Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Cloudy;No;35.186714, -80.76577
560;561;Yes;40-49;47;No;Facing Traffic;B: Evident Injury;Travel Lane;Black;Female;Rocky Mount;Edgecombe;No;01-01-05;2009-08-14;Motorist Failed to Yield - Sign-Controlled Intersection;9;Intersection;01-08-01;0001-01-01T04:42:58-04:56;Motorist Drive Out - Sign-Controlled Intersection;112141;2009;B: Evident Injury;Commercial;60-69;62;No;0-5 mph;O: No Injury;White;Female;Sport Utility;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;Stop Sign;Clear;No;35.930653, -77.774475
561;562;Yes;50-59;56;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Rocky Mount;Nash;No;;2009-08-03;Motorist Failed to Yield - Sign-Controlled Intersection;9;Intersection;01-08-01;0001-01-01T04:39:58-04:56;Motorist Drive Through - Sign-Controlled Intersection;111143;2009;B: Evident Injury;Residential;40-49;47;No;21-25 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;No Control Present;Clear;No;35.95829, -77.80242
562;563;Yes;50-59;50;No;With Traffic;B: Evident Injury;Travel Lane;White;Female;High Point;Guilford;No;01-01-06;2009-09-12;Motorist Failed to Yield - Sign-Controlled Intersection;11;Intersection;01-09-01;0001-01-01T06:33:58-04:56;Motorist Drive Out - Sign-Controlled Intersection;111141;2009;B: Evident Injury;Residential;50-59;55;No;21-25 mph;O: No Injury;White;Male;Light Truck (Mini-Van, Panel);No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop Sign;Clear;No;36.000065, -80.009674
568;569;Yes;40-49;40;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;High Point;Guilford;No;01-01-02;2009-09-22;Crossing Paths - Other Circumstances;22;Intersection;01-09-01;0001-01-01T17:17:58-04:56;Signalized Intersection - Other /;111158;2009;B: Evident Injury;Residential;50-59;51;No;36-40 mph;O: No Injury;White;Male;Passenger Car;No;No;Dark - Lighted Roadway;Urban (>70% Developed);5 lanes;2;Straight - Grade;NC Route;Wet;Two-Way, Divided, Unprotected Median;None;Four-Way Intersection;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Stop And Go Signal;Cloudy;No;35.974743, -80.03369
570;571;No;15-Nov;11;No;Not Applicable;C: Possible Injury;;Hispanic;Male;Charlotte;Mecklenburg;No;01-01-04;2009-09-24;Bicyclist Failed to Yield - Midblock;19;Non-Intersection;01-09-01;0001-01-01T14:11:58-04:56;Bicyclist Ride Out - Midblock -;393319;2009;C: Possible Injury;Residential;20-24;23;No;16-20 mph;O: No Injury;Black;Female;Passenger Car;No;No;Dusk;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;20 - 25  MPH;No Control Present;Clear;No;35.281235, -80.77153
571;572;Yes;25-29;27;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Robeson;No;01-01-07;2009-09-27;Motorist Overtaking Bicyclist;9;Non-Intersection;01-09-01;0001-01-01T04:34:58-04:56;Motorist Overtaking - Misjudged Space;311232;2009;C: Possible Injury;Farms, Woods, Pastures;;;Missing;;Injury;/Missing;;;No;Yes;Dawn;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Wet;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Cloudy;No;34.7513, -78.96149
572;573;No;16-19;18;Yes;Facing Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Catawba;Yes;;2009-09-21;Head-On;22;Non-Intersection;01-09-01;0001-01-01T17:16:58-04:56;Head-On - Bicyclist;312250;2009;C: Possible Injury;Residential;25-29;25;No;36-40 mph;O: No Injury;White;Male;Sport Utility;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Cloudy;No;35.650524, -81.19749
574;575;Yes;30-39;31;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;None - Rural Crash;Bladen;No;01-01-03;2009-10-07;Loss of Control / Turning Error;20;Non-Intersection;01-10-01;0001-01-01T15:06:58-04:56;Motorist Lost Control - Other /;311139;2009;C: Possible Injury;Residential;;;No;41-45 mph;Injury;/Missing;;Passenger Car;No;Yes;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;No Control Present;Clear;No;34.56472, -78.84384
575;576;Yes;20-24;20;No;With Traffic;C: Possible Injury;Travel Lane;Black;Male;Durham;Durham;No;01-01-04;2009-10-08;Motorist Overtaking Bicyclist;16;Non-Intersection;01-10-01;0001-01-01T11:42:58-04:56;Motorist Overtaking - Misjudged Space;311232;2009;C: Possible Injury;Residential;;;Missing;31-35 mph;Injury;/Missing;;Passenger Car;No;Yes;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.98208, -78.877815
580;581;No;20-24;20;No;Not Applicable;O: No Injury;Non-Roadway;White;Male;Greensboro;Guilford;No;01-01-07;2009-09-27;Non-Roadway;14;Non-Roadway;01-09-01;0001-01-01T09:05:58-04:56;Non-Roadway;460910;2009;O: No Injury;Institutional;20-24;20;No;;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);;2;;.;Dry;Two-Way, Not Divided;None;No Special Feature;Concrete;Piedmont;Urban;;No Control Present;Clear;No;36.06816, -79.81447
581;582;No;10-Jun;10;No;With Traffic;C: Possible Injury;Travel Lane;Black;Male;Raleigh;Wake;No;01-01-06;2009-09-12;Bicyclist Failed to Yield - Midblock;17;Non-Intersection;01-09-01;0001-01-01T12:49:58-04:56;Bicyclist Ride Out - Other Midblock;311318;2009;C: Possible Injury;Residential;30-39;33;No;26-30 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Hillcrest;Local Street;Dry;Two-Way, Not Divided;None;Driveway, Public;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.744724, -78.65375
582;583;No;20-24;21;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;Raleigh;Wake;No;01-01-05;2009-09-11;Motorist Overtaking Bicyclist;14;Non-Intersection;01-09-01;0001-01-01T09:40:58-04:56;Motorist Overtaking - Misjudged Space;311232;2009;C: Possible Injury;Commercial;;;Missing;31-35 mph;Injury;/Missing;;;No;Yes;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.78909, -78.6746
586;587;Yes;30-39;34;No;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Raleigh;Wake;No;01-01-03;2009-09-02;Motorist Failed to Yield - Signalized Intersection;21;Intersection;01-09-01;0001-01-01T16:58:58-04:56;Motorist Drive Through - Signalized Intersection;132154;2009;B: Evident Injury;Commercial;;;Missing;31-35 mph;Injury;/Missing;;;No;Yes;Dark - Lighted Roadway;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Positive Median Barrier;None;Y-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.79904, -78.646
591;592;Yes;16-19;16;No;With Traffic;A: Disabling Injury;Travel Lane;White;Male;None - Rural Crash;Brunswick;No;01-01-02;2009-10-13;Bicyclist Failed to Yield - Sign-Controlled Intersection;17;Intersection;01-10-01;0001-01-01T12:59:58-04:56;Bicyclist Ride Through - Sign-Controlled Intersection;111144;2009;A: Disabling Injury;Farms, Woods, Pastures;60-69;62;No;51-55 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Mixed (30% To 70% Developed);3 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;Driveway, Public;Coarse Asphalt;Coastal;Rural;50 - 55  MPH;Stop Sign;Clear;No;33.91423, -78.49137
592;593;Yes;10-Jun;9;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Roanoke Rapids;Halifax;No;01-01-07;2009-09-27;Motorist Failed to Yield - Signalized Intersection;15;Intersection;01-09-01;0001-01-01T10:47:58-04:56;Motorist Drive Through - Signalized Intersection;111154;2009;B: Evident Injury;Commercial;;;Missing;11-15 mph;Injury;/Missing;;;No;Yes;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Coastal;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;36.44219, -77.668945
594;595;Yes;50-59;51;No;With Traffic;B: Evident Injury;Travel Lane;White;Female;None - Rural Crash;Stokes;No;01-01-06;2009-10-03;Motorist Overtaking Bicyclist;10;Non-Intersection;01-10-01;0001-01-01T05:48:58-04:56;Motorist Overtaking - Other /;311239;2009;B: Evident Injury;Residential;40-49;48;No;41-45 mph;O: No Injury;White;Male;Van;No;No;Daylight;Mixed (30% To 70% Developed);2 lanes;2;Straight - Grade;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;36.278717, -80.40212
604;605;No;40-49;48;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;Huntersville;Mecklenburg;No;01-01-06;2009-10-03;Motorist Overtaking Bicyclist;6;Non-Intersection;01-10-01;0001-01-01T01:17:58-04:56;Motorist Overtaking - Other /;311239;2009;C: Possible Injury;Residential;25-29;27;No;41-45 mph;O: No Injury;White;Female;Sport Utility;No;No;Dawn;Mixed (30% To 70% Developed);2 lanes;2;Straight - Level;NC Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Piedmont;Urban;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.4344, -80.90519
609;610;Yes;30-39;35;No;With Traffic;B: Evident Injury;Travel Lane;White;Male;Raleigh;Wake;No;01-01-05;2009-09-04;Parallel Paths - Other Circumstances;18;Intersection;01-09-01;0001-01-01T13:34:58-04:56;Parallel Paths - Other /;111280;2009;B: Evident Injury;Commercial;;;Missing;6-10 mph;Injury;/Missing;;;No;Yes;Daylight;Mixed (30% To 70% Developed);3 lanes;2;Straight - Grade;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.79088, -78.66125
610;611;No;16-19;18;No;Facing Traffic;O: No Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Raleigh;Wake;No;01-01-03;2009-09-16;Motorist Failed to Yield - Signalized Intersection;12;Intersection;01-09-01;0001-01-01T07:28:58-04:56;Motorist Drive Out - Right Turn on Red;132151;2009;O: No Injury;Commercial;50-59;56;No;31-35 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;Stop And Go Signal;Clear;No;35.788967, -78.673195
611;612;No;30-39;30;No;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Raleigh;Wake;No;01-01-02;2009-09-15;Motorist Failed to Yield - Midblock;17;Non-Intersection;01-09-01;0001-01-01T12:16:58-04:56;Motorist Drive Out - Midblock -;332329;2009;B: Evident Injury;Commercial;60-69;63;No;26-30 mph;O: No Injury;White;Male;Pickup;No;No;Daylight;Urban (>70% Developed);7 lanes;2;Straight - Grade;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Coarse Asphalt;Piedmont;Urban;40 - 45  MPH;No Control Present;Clear;No;35.84994, -78.58134
614;615;Yes;25-29;25;No;Facing Traffic;B: Evident Injury;;Hispanic;Male;Morehead City;Carteret;No;01-01-06;2009-10-03;Crossing Paths - Other Circumstances;15;Intersection;01-10-01;0001-01-01T10:08:58-04:56;Crossing Paths - Intersection - Other /;192180;2009;B: Evident Injury;Commercial;40-49;43;No;11-15 mph;O: No Injury;White;Male;Passenger Car;No;No;Daylight;Urban (>70% Developed);3 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;Four-Way Intersection;Smooth Asphalt;Coastal;Urban;30 - 35  MPH;No Control Present;Clear;No;34.7241, -76.73523
629;630;No;30-39;30;No;Facing Traffic;Injury;Sidewalk / Crosswalk / Driveway Crossing;White;Male;Asheville;Buncombe;No;01-01-05;2009-09-25;Motorist Failed to Yield - Midblock;8;Non-Intersection;01-09-01;0001-01-01T03:09:58-04:56;Motorist Drive Out - Midblock -;332329;2009;O: No Injury;Commercial;30-39;30;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);4 lanes;2;Straight - Level;US Route;Dry;Two-Way, Divided, Unprotected Median;None;No Special Feature;Smooth Asphalt;Mountains;Urban;30 - 35  MPH;No Control Present;Clear;No;35.585857, -82.55172
630;631;Yes;50-59;54;No;With Traffic;C: Possible Injury;Travel Lane;White;Male;Mcadenville;Gaston;No;01-01-07;2009-09-27;Motorist Left Turn / Merge;19;Intersection;01-09-01;0001-01-01T14:39:58-04:56;Motorist Left Turn - Opposite Direction;111212;2009;C: Possible Injury;Residential;20-24;24;No;6-10 mph;Injury;White;Male;Passenger Car;No;No;Dusk;Urban (>70% Developed);2 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Divided, Unprotected Median;None;T-Intersection;Smooth Asphalt;Piedmont;Rural;40 - 45  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.26834, -81.03792
640;641;No;40-49;48;No;Facing Traffic;O: No Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Salisbury;Rowan;No;;2009-11-02;Crossing Paths - Other Circumstances;20;Intersection;01-11-01;0001-01-01T15:54:58-04:56;Crossing Paths - Uncontrolled Intersection;132160;2009;O: No Injury;Commercial;30-39;30;No;0-5 mph;O: No Injury;White;Male;Pickup;No;No;Dark - Roadway Not Lighted;Urban (>70% Developed);4 lanes;2;Straight - Level;Local Street;Dry;Two-Way, Not Divided;None;T-Intersection;Smooth Asphalt;Piedmont;Urban;30 - 35  MPH;No Control Present;Clear;No;35.660973, -80.46259
642;643;Yes;50-59;56;No;Facing Traffic;B: Evident Injury;Sidewalk / Crosswalk / Driveway Crossing;Black;Male;Elizabethtown;Bladen;No;01-01-05;2009-10-23;Motorist Failed to Yield - Midblock;10;Non-Intersection;01-10-01;0001-01-01T05:23:58-04:56;Motorist Drive Out - Commercial Driveway / Alley;332322;2009;B: Evident Injury;Commercial;50-59;58;No;0-5 mph;O: No Injury;White;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);;2;Straight - Level;Public Vehicular Area;Dry;;None;Driveway, Public;Smooth Asphalt;Coastal;Rural;;No Control Present;Clear;No;34.624264, -78.607834
653;654;Yes;40-49;40;No;With Traffic;B: Evident Injury;Travel Lane;Black;Male;Weldon;Halifax;No;01-01-06;2009-10-24;Crossing Paths - Other Circumstances;17;Intersection;01-10-01;0001-01-01T12:44:58-04:56;Crossing Paths - Intersection - Other /;111180;2009;B: Evident Injury;Residential;40-49;43;No;11-15 mph;O: No Injury;Black;Female;Passenger Car;No;No;Daylight;Urban (>70% Developed);2 lanes;2;Straight - Grade;Local Street;Dry;One-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;20 - 25  MPH;No Control Present;Cloudy;No;36.42882, -77.59971
657;658;Yes;16-19;16;Yes;With Traffic;K: Killed;Travel Lane;White;Male;None - Rural Crash;Harnett;Yes;01-01-06;2009-11-07;Motorist Overtaking Bicyclist;18;Non-Intersection;01-11-01;0001-01-01T13:08:58-04:56;Motorist Overtaking - Bicyclist Swerved;311235;2009;K: Killed;Farms, Woods, Pastures;0-19;17;No;41-45 mph;O: No Injury;White;Male;Pickup;No;No;Dark - Roadway Not Lighted;Rural (<30% Developed);2 lanes;2;Straight - Level;State Secondary Route;Dry;Two-Way, Not Divided;None;No Special Feature;Smooth Asphalt;Coastal;Rural;50 - 55  MPH;Double Yellow Line, No Passing Zone;Clear;No;35.322243, -78.56951
