name,country,parent,total,dems,repubs,year
Henkel Corp,Germany,Henkel KGaA,14000,11000,3000,2008
Herbalife International,UK,Herbalife Ltd,45413,27414,17999,2008
Hill & Knowlton (WPP Group),UK,WPP Group,5000,3000,2000,2008
Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,309500,168500,141000,2008
Holcim US,Switzerland,Holcim Ltd,121500,87000,34500,2008
Horizon Wind Energy,Portugal,EDP Renovaveis,0,0,0,2008
HSBC North America,UK,HSBC Holdings,534250,267000,267250,2008
Iberdrola Renewables,Spain,Iberdrola SA,22000,18000,4000,2008
Indra Systems,Spain,Indra Systems SA,0,0,0,2008
Infineon Technologies,Germany,Infineon Technologies AG,3000,3000,0,2008
ING Americas (ING Group),Netherlands,ING Group,108000,71500,36500,2008
Intelsat Holdings (Serafina SA),Luxembourg,Intelsat SA,30500,18500,12000,2008
Intermagnetics General Corp,Netherlands,Philips Electronics,-2000,-1000,-1000,2008
International Power America,UK,International Power,0,0,0,2008
International Securities Exchange,Germany,Deutsche Boerse,41400,24900,16500,2008
Jackson National Life Insurance,UK,Prudential PLC,73000,19750,53250,2008
JBS USA,Brazil,JBS SA,84500,25000,59500,2008
John Hancock Financial Services,Canada,Manulife Financial,103000,68000,35000,2008
LaFarge North America,France,Lafarge SA,61500,25000,36500,2008
Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,4000,0,4000,2008
Lehigh Cement,Germany,HeidelbergCement AG,57567,32000,25567,2008
Maersk Inc (AP Moller-Maersk),Denmark,AP Møller-Mærsk,171500,84500,87000,2008
Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,39000,23000,16000,2008
McDermott International (McDermott International),Panama,McDermott International,25000,4500,20500,2008
Medimmune Inc (AstraZeneca PLC),UK,AstraZeneca PLC,92600,59100,33500,2008
Metallurg Vanadium Corp,Netherlands,AMG Advanced Metallurgical Group,250,250,0,2008
Metro-Goldwyn-Mayer (Sony Corp),Japan,Sony Corp,0,0,0,2008
Millennium Pharmaceuticals,Japan,Takeda Pharmaceutical Co,10000,7500,2500,2008
Miller Brewing (SABMiller),UK,SABMiller PLC,194000,99500,94500,2008
MillerCoors LLC (SABMiller),UK,SABMiller PLC,0,0,0,2008
National Grid USA (National Grid plc),UK,National Grid plc,67600,52150,15450,2008
National Grid USA (National Grid plc),UK,National Grid plc,53800,36300,17500,2008
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,22750,5250,17500,2008
Nestle USA (Nestle SA),Switzerland,Nestle,15900,8900,7000,2008
Nestle Waters North America (Nestle SA),Switzerland,Nestle,15500,4000,11500,2008
Novartis Corp (Novartis AG),Switzerland,Novartis AG,359050,139050,220000,2008
Novartis Vaccines & Diagnostics (Novartis AG),Switzerland,Novartis AG,0,0,0,2008
Novo Nordisk,Denmark,Novo Nordisk A/S,96044,56544,39500,2008
Oldcastle Materials,Ireland,CRH PLC,406100,208100,198000,2008
Peter Pan Seafoods,Japan,Maruha Nichiro Holdings,8500,3000,5500,2008
Pharmavite LLC,Japan,Otsuka Pharmaceutical,42168,23668,18500,2008
Philips Electronics North America,Netherlands,Philips Electronics,114046,39296,74750,2008
PotashCorp,Canada,Potash Corporation of Saskatchewan,25000,5000,20000,2008
Putnam Investments (Power Financial Corp),Canada,Power Financial Corp,17000,11000,6000,2008
QBE Regional Insurance,Australia,QBE Insurance Group,0,0,0,2008
Qimonda North America,Germany,Qimonda AG,7500,5500,2000,2008
QinetiQ North America (Qinetiq Group),UK,QinetiQ Group,33800,19200,14600,2008
RBC Centura Banks (Royal Bank of Canada),Canada,Royal Bank of Canada,0,0,0,2008
Reebok International,Germany,adidas AG,500,500,0,2008
Reed Elsevier Inc,UK,Reed Elsevier Group,121300,74800,46500,2008
Renewable Energy Systems Americas,UK,Renewable Energy Systems,3000,3000,0,2008
Research In Motion,Canada,Research in Motion,19500,11000,8500,2008
Rio Tinto America,UK,Rio Tinto Group,43000,19000,24000,2008
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce PLC,186500,72500,114000,2008
Sanofi-Aventis US (Sanofi-Aventis),France,Sanofi-Aventis,105500,59500,46000,2008
Sanofi-Pasteur Inc (Sanofi-Aventis),France,Sanofi-Aventis,52000,28000,24000,2008
Santander Bank (Banco Santander),Spain,Banco Santander,10525,6525,4000,2008
SAP America,Germany,SAP Aktiengesellschaft,150500,80500,70000,2008
Schaeffler Group USA,Germany,Schaeffler Group,5800,3500,2300,2008
Securitas Security Services USA,Sweden,Securitas AB,15500,6000,9500,2008
SES Americom,Luxembourg,SES Global,16500,9500,7000,2008
Shell Oil,Netherlands,Royal Dutch-Shell Group,77000,25000,52000,2008
Shire Pharmaceuticals,UK,Shire Plc,1250,250,1000,2008
SI International,UK,Serco Group,171750,81500,90250,2008
Siemens Corp,Germany,Siemens AG,303000,177500,125500,2008
Smith & Nephew,UK,Smith & Nephew Plc,28300,13000,15300,2008
Smiths Detection,UK,Smiths Group PLC,5500,4000,1500,2008
Sodexo Inc,France,Sodexo,34500,30000,4500,2008
Solvay Pharmaceuticals,Belgium,Solvay SA,177500,52000,125500,2008
Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,205500,151500,54000,2008
Space Systems/Loral,UK,Loral Space & Communications,0,0,0,2008
Sparta Inc (Cobham Holdings),UK,Cobham plc,67100,25000,42100,2008
Spirit Aerosystems (Onex Corp),Canada,Onex Corp,19150,3500,15650,2008
Sun Life Assurance of Canada (Sun Life Financial),Canada,Sun Life Financial,12000,10000,2000,2008
Swedish Match North America,Sweden,Swedish Match AB,58075,23227,34848,2008
Syngenta Corp,Switzerland,Syngenta AG,200100,92500,107600,2008
T-Mobile USA,Germany,Deutsche Telekom AG,396000,215500,180500,2008
Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,40500,18000,22500,2008
Teva Pharmaceuticals USA,Israel,Teva Pharmaceutical Industries,27350,15100,12250,2008
Travelport Inc (Blackstone Group),UK,Travelport Ltd,0,0,0,2008
Tyco International (Tyco International),Ireland,Tyco International,190000,109500,80500,2008
UBS Americas,Switzerland,UBS AG,852500,436500,416000,2008
Ultra Electronics Prologic,UK,Ultra Electronics,45000,44000,1000,2008
UnionBanCal Corp,Japan,Bank of Tokyo,2600,2600,0,2008
United Water,France,SUEZ Environnement,13150,13100,50,2008
Universal Music Group (Vivendi),France,Vivendi,167440,98040,69400,2008
VT Halter Marine,Singapore,ST Engineering,7000,1000,6000,2008
Wackenhut Corp,Denmark,Group 4 Securicor,14750,5000,9750,2008
Weatherford US,UK,Weatherford International,1000,1000,0,2008
Westfield Corp,Australia,Westfield Group of Australia,22158,19658,2500,2008
Westinghouse Electric,Japan,Toshiba Corp,27100,10000,17100,2008
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,103579,59579,44000,2008
Willis North America,UK,Willis Group,18000,15000,3000,2008
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services AG,200211,93211,107000,2008
7-Eleven,Japan,Seven & I Holdings,0,0,0,2010
ABB Group,Switzerland,Asea Brown Boveri,17000,7500,9000,2010
Accenture (Accenture),Ireland,Accenture plc,337400,193000,143400,2010
Accenture (Accenture),Ireland,Accenture plc,0,0,0,2010
ACE INA,Switzerland,ACE Ltd,247500,129500,118000,2010
AEGON USA,Netherlands,Aegon NV,186000,106500,79500,2010
Agrium US,Canada,Agrium Inc,2400,0,0,2010
Air Liquide America,France,L'Air Liquide SA,24950,18200,4250,2010
Alcatel-Lucent Holding (Alcatel-Lucent),France,Alcatel-Lucent,0,0,0,2010
Alcatel-Lucent USA (Alcatel-Lucent),France,Alcatel-Lucent,21000,15500,5500,2010
Alcon Laboratories (Novartis AG),Switzerland,Novartis,29455,8455,21000,2010
Allianz of America (Allianz),Germany,Allianz AG Holding,84850,37850,47000,2010
Anheuser-Busch,Belgium,Anheuser-Busch InBev,864500,464000,399500,2010
APL Ltd,Singapore,Neptune Orient Lines Ltd,62500,35000,25000,2010
Arcadis US,Netherlands,Arcadis NV,237750,136250,97500,2010
ArcelorMittal USA,Luxembourg,ArcelorMittal,60500,42500,18000,2010
Arch Capital Group (US),UK,Arch Capital Group,12800,9300,3500,2010
AREVA Inc,France,Areva Group,99900,62400,34500,2010
Arkema Inc,France,Arkema,14500,8500,6000,2010
Astellas US,Japan,Astellas Pharma,93500,56000,37500,2010
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca PLC,703500,368000,328500,2010
Aviva USA,UK,Aviva PLC,0,0,0,2010
AXA Equitable Life Insurance (AXA),France,AXA,285500,171500,114000,2010
AXIS Specialty US Services (AXIS Capital),UK,AXIS Captial,3000,3000,0,2010
Bacardi USA,UK,Bacardi Ltd,20025,11025,8000,2010
BAE Systems (BAE Systems),UK,BAE Systems,800000,473500,326000,2010
Ballard Power Systems,Canada,Ballard Power Systems,0,0,0,2010
BancWest Corp (BNP Paribas),France,BNP Paribas,0,0,0,2010
Barclays Group US,UK,Barclays plc,104000,46500,57500,2010
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,152500,33000,104500,2010
BASF Corp (BASF SE),Germany,BASF SE,360500,102000,256500,2010
Bayer Corp,Germany,Bayer AG,419000,184000,231000,2010
BBVA Compass,Spain,Banco Bilbao Vizcaya Argentaria,164000,42000,122000,2010
Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,236000,132500,101500,2010
Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,20000,19000,1000,2010
BP,UK,BP PLC,71500,31500,35000,2010
Bridgestone Americas,Japan,Bridgestone Corp,104000,65500,38500,2010
Bumble Bee Foods,UK,Lion Capital,17250,12750,4500,2010
Burson-Marsteller (WPP Group),UK,WPP Group,82250,50750,31500,2010
Buzzi Unicem USA,Italy,Buzzi Unicem SpA,7050,1000,6050,2010
CalPortland Co,Japan,Taiheiyo Cement Co,130500,22000,106000,2010
CaridianBCT,Sweden,Gambro AB,0,0,0,2010
Carmeuse Lime,Netherlands,LVI Holding,9500,8000,1500,2010
Case New Holland,Italy,Fiat SPA,92000,5000,87000,2010
CEMEX Inc,Mexico,CEMEX SA de CV,260800,33400,225000,2010
CGI Technologies & Solutions,Canada,Groupe CGI,62854,34000,28854,2010
Ciba Inc (BASF SE),Germany,BASF SE,15725,7725,8000,2010
Citizens Financial Group,UK,Royal Bank of Scotland Group,132150,110150,22000,2010
Cobham Holdings (Cobham Holdings),UK,Cobham plc,15000,4000,11000,2010
Cobham Management Services (Cobham PLC),UK,Cobham PLC,147125,70400,74225,2010
Commonwealth Brands,UK,Imperial Tobacco Group,68300,27300,41000,2010
Converteam Holdings North America,France,Converteam Group SAS,1800,1800,0,2010
Cooper Industries,Ireland,Cooper Industries Ltd,63000,26000,37000,2010
Covidien US,UK,Covidien Ltd,182500,104000,78500,2010
Credit Suisse Securities,Switzerland,Credit Suisse Group,487000,246500,240500,2010
CSL Behring,Australia,CSL Ltd,34250,17250,17000,2010
Daiichi Sankyo Inc,Japan,Daiichi Sanyko,191500,65500,124000,2010
Deutsche Bank Securities,Germany,Deutsche Bank AG,85400,48400,37000,2010
DHL (Deutsche Post AG),Germany,Deutsche Post AG,3000,3000,0,2010
Diageo North America (Diageo PLC),UK,Diageo PLC,131752,87919,43833,2010
Diageo North America/CT (Diageo PLC),UK,Diageo PLC,0,0,0,2010
DRS Technologies,Italy,Finmeccanica SpA,417300,187000,229300,2010
EADS North America,Netherlands,European Aeronautic Defence & Space Co,207200,104500,102700,2010
Eisai Inc,Japan,Eisai Co Ltd,68000,48500,19500,2010
Elbit Systems of America,Israel,Elbit Systems Ltd,22500,11500,11000,2010
Embraer Aircraft Holdings,Brazil,Embraer-Empresa Brasileira de Aeronautic,7000,2500,3500,2010
EMD Serono Inc,Germany,Merck KGaA,123000,83000,40000,2010
EnCana Oil & Gas USA,Canada,EnCana Corp,0,0,0,2010
Essroc Corp,Italy,Italcementi Group,8500,2500,6000,2010
Experian,UK,Experian plc,487727,145000,342727,2010
Farmers Group (Zurich Financial Services),Switzerland,Zurich Financial Services AG,176944,34650,141794,2010
First Hawaiian Bank (BNP Paribas),France,BNP Paribas,11300,9800,1500,2010
Food Lion,Belgium,Delhaize Group,14000,4500,9500,2010
Foster Wheeler,Switzerland,Foster Wheeler PLC,0,0,0,2010
Fresenius Medical Care North America,Germany,Fresenius Medical Care,125102,97500,27602,2010
G4S Secure Solutions,UK,G4S plc,61500,24000,32500,2010
GDF Suez Energy North America,France,GDF SUEZ,72750,41000,26750,2010
Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,290500,128500,160000,2010
General Cigar Co,Sweden,Scandinavian Tobacco Group,0,0,0,2010
GKN Corp,UK,GKN PLC,1000,1000,0,2010
Glanbia Foods,Ireland,Glanbia PLC,2900,500,2400,2010
GlaxoSmithKline,UK,GlaxoSmithKline,619500,316000,297500,2010
Grand Trunk Western-Illinois Central RR,Canada,Canadian National Railway,44250,26000,18250,2010
Great-West Life & Annuity Insurance (Power Financial Corp),Canada,Power Financial Corp,12000,6000,6000,2010
Greyhound Lines (FirstGroup PLC),UK,FirstGroup PLC,16000,10500,5500,2010
Gtech Corp,Italy,B&D Holding Di Marco Drago e C Sapa,3500,3500,0,2010
Halcrow Inc,UK,Halcrow Holdings,1000,1000,0,2010
Heineken USA,Netherlands,L'Arche Green NV,53500,34000,19500,2010
Henkel Corp,Germany,Henkel KGaA,11000,7000,4000,2010
Herbalife International,UK,Herbalife Ltd,63080,35000,28080,2010
Hill & Knowlton (WPP Group),UK,WPP Group,1250,1000,250,2010
Hoffmann-La Roche (Roche Holdings),Switzerland,Roche Holdings,172000,98500,71000,2010
Holcim US,Switzerland,Holcim Ltd,33500,25000,8500,2010
Horizon Wind Energy,Portugal,EDP Renovaveis,2250,1250,1000,2010
HSBC North America (HSBC Holdings),UK,HSBC Holdings,339000,156500,182500,2010
HSBC North America/Florida (HSBC Holdings),UK,HSBC Holdings,0,0,0,2010
Iberdrola Renewables (Iberdrola SA),Spain,Iberdrola SA,30000,26500,2500,2010
Iberdrola USA (Iberdrola SA),Spain,Iberdrola SA,11250,11250,0,2010
Infineon Technologies,Germany,Infineon Technologies AG,1000,1000,0,2010
ING Americas (ING Group),Netherlands,ING Group,110500,68000,42500,2010
Intelsat Holdings (Serafina SA),Luxembourg,Intelsat SA,66900,48900,18000,2010
Intergraph Corp,Sweden,Hexagon AB,19000,7000,12000,2010
International Power America,UK,International Power,19000,11500,4000,2010
International Securities Exchange,Germany,Deutsche Boerse,49500,31500,18000,2010
Jackson National Life Insurance,UK,Prudential PLC,122774,40000,82774,2010
JBS USA,Brazil,JBS SA,168050,64000,104050,2010
John Hancock Life Insurance,Canada,Manulife Financial,143900,96500,47400,2010
Kurtzman Carson Consultants,Australia,Computershare Limited,0,0,0,2010
LaFarge North America,France,Lafarge SA,91000,37500,53500,2010
Learjet Inc (Bombardier Inc),Canada,Bombardier Inc,5580,1000,4580,2010
Linde North America,Germany,Linde AG,10000,8000,2000,2010
Louis Dreyfus Group,Netherlands,Louis Dreyfus Holding B.V.,37500,12000,25500,2010
Lundbeck Inc,Denmark,H Lundbeck A/S,0,0,0,2010
Maersk Inc (AP Moller-Maersk),Denmark,AP Møller-Mærsk,136750,81000,54750,2010
Magna Holdings of America,Canada,Magna International,2250,2250,0,2010
Marinette Marine,Italy,Fincantieri-Cantieri Navali Italiani SpA,12700,7200,5500,2010
Massachusetts Financial Services (Sun Life Financial),Canada,Sun Life Financial Services,40000,23000,17000,2010
MBDA Inc,UK,MBDA,0,0,0,2010
McDermott International (McDermott International),Panama,McDermott International,37500,5500,31000,2010
Medimmune Inc (AstraZeneca PLC),UK,AstraZeneca PLC,104500,60500,41000,2010
Metallurg Vanadium Corp,Netherlands,AMG Advanced Metallurgical Group,0,0,0,2010
Millennium Pharmaceuticals (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,28000,22000,6000,2010
Miller Brewing (SABMiller),UK,SABMiller PLC,0,0,0,2010
MillerCoors LLC (SABMiller),UK,SABMiller PLC,205500,97500,107000,2010
National Grid USA (National Grid plc),UK,National Grid plc,141350,121100,18250,2010
National Grid USA (National Grid plc),UK,National Grid plc,500,500,0,2010
Nestle Purina PetCare (Nestle SA),Switzerland,Nestle,25500,4500,21000,2010
Nestle Waters North America (Nestle SA),Switzerland,Nestle,19500,10500,8000,2010
Nomura Holding America,Japan,Nomura Holdings,0,0,0,2010
Novartis Corp (Novartis AG),Switzerland,Novartis AG,339750,163250,174000,2010
Novo Nordisk,Denmark,Novo Nordisk A/S,170818,102318,67500,2010
Oldcastle Materials,Ireland,CRH PLC,305000,165500,138500,2010
Parsons Brinckerhoff,UK,Balfour Beatty,162618,127718,34900,2010
PBSJ Corp,UK,WS Atkins PLC,11750,9100,250,2010
Pernod Ricard USA,France,Pernod Ricard SA,21500,12000,9500,2010
Peter Pan Seafoods,Japan,Maruha Nichiro Holdings,3350,1500,250,2010
Pharmavite LLC,Japan,Otsuka Pharmaceutical,47000,23000,22000,2010
Philips Electronics North America (Philips Electronics),Netherlands,Philips Electronics,118200,38250,76200,2010
Philips Medical Systems (Philips Electronics),Netherlands,Philips Electronics,0,0,0,2010
PotashCorp,Canada,Potash Corporation of Saskatchewan,54000,15500,38500,2010
Putnam Investments (Power Financial Corp),Canada,Power Financial Corp,17266,11766,5500,2010
QBE Regional Insurance,Australia,QBE Insurance Group,0,0,0,2010
QinetiQ North America (Qinetiq Group),UK,QinetiQ Group,22000,10500,11500,2010
RBC Centura Banks (Royal Bank of Canada),Canada,Royal Bank of Canada,1250,1000,250,2010
Reebok International,Germany,adidas AG,4500,4500,0,2010
Reed Elsevier Inc,UK,Reed Elsevier Group,97300,60500,36800,2010
Renewable Energy Systems Americas,UK,Renewable Energy Systems,27750,22500,3250,2010
Renre North America Inc,UK,RenaissanceRe Holdings,0,0,0,2010
Research In Motion,Canada,Research in Motion,16000,8000,8000,2010
Rio Tinto America,UK,Rio Tinto Group,71000,36500,30500,2010
Rolls-Royce North America (Rolls-Royce PLC),UK,Rolls-Royce PLC,353800,176800,172000,2010
Sanofi-Aventis US (Sanofi-Aventis),France,Sanofi-Aventis,87000,43500,43500,2010
Sanofi-Pasteur Inc (Sanofi-Aventis),France,Sanofi-Aventis,44500,19750,24750,2010
Santander Bank (Banco Santander),Spain,Banco Santander,9500,9500,0,2010
SAP America,Germany,SAP Aktiengesellschaft,46500,31000,15500,2010
Schaeffler Group USA,Germany,Schaeffler Group,3000,2000,1000,2010
Securitas Security Services USA,Sweden,Securitas AB,10500,0,10500,2010
Serco Inc,UK,Serco Group,86900,41000,45900,2010
SES Americom,Luxembourg,SES Global,3000,3000,0,2010
Severstal Warren,Russia,OAO Severstal,0,0,0,2010
Shell Oil,Netherlands,Royal Dutch-Shell Group,0,0,0,2010
Shire Pharmaceuticals,UK,Shire Plc,1500,1000,500,2010
Siemens Corp,Germany,Siemens AG,302000,171000,128000,2010
Smith & Nephew,UK,Smith & Nephew Plc,0,0,0,2010
Smiths Detection,UK,Smiths Group PLC,10800,7800,1000,2010
Sodexo Inc,France,Sodexo,49500,41000,8500,2010
Sony Pictures Entertainment (Sony Corp),Japan,Sony Corp,191900,111400,79500,2010
Space Systems/Loral,UK,Loral Space & Communications,6900,6900,0,2010
Spirit Aerosystems (Onex Corp),Canada,Onex Corp,28400,5000,23400,2010
Sun Life Assurance of Canada (Sun Life Financial),Canada,Sun Life Financial,24700,18700,6000,2010
Sunovion Pharmaceuticals,Japan,Sumitomo Chemical,44500,29500,15000,2010
Swedish Match North America (Swedish Match AB),Sweden,Swedish Match AB,73500,34500,39000,2010
Swiss Re America,Switzerland,Swiss Re,20200,12400,7800,2010
Syngenta Corp,Switzerland,Syngenta AG,259000,145500,113500,2010
T-Mobile USA,Germany,Deutsche Telekom AG,398150,220400,177750,2010
Takeda Pharmaceuticals North America (Takeda Pharmaceutical Co),Japan,Takeda Pharmaceutical Co,17000,7000,10000,2010
Tate & Lyle Americas (Tate & Lyle),UK,Tate & Lyle,28950,11500,17450,2010
Teva Pharmaceuticals USA,Israel,Teva Pharmaceutical Industries,116700,76200,40500,2010
Travelport Inc (Blackstone Group),UK,Travelport Ltd,19300,9800,9500,2010
Tyco International,Ireland,Tyco International,263000,134000,129000,2010
UBS Americas,Switzerland,UBS AG,469500,258500,206000,2010
Ultra Electronics Prologic,UK,Ultra Electronics,33450,20000,12950,2010
UnionBanCal Corp,Japan,Bank of Tokyo,0,0,0,2010
United Water,France,SUEZ Environnement,15100,10100,5000,2010
Universal Music Group (Vivendi),France,Vivendi,145300,82800,61500,2010
VT Halter Marine,Singapore,ST Engineering,4000,2500,1000,2010
Weatherford US,UK,Weatherford International,11100,2900,8200,2010
Westfield Corp,Australia,Westfield Group of Australia,15126,15126,0,2010
Westinghouse Electric,Japan,Toshiba Corp,35000,18500,16500,2010
Wexler & Walker Public Policy Assoc (WPP Group),UK,WPP Group,100000,62500,36500,2010
Willis North America,UK,Willis Group,7500,4500,3000,2010
Zurich Insurance (Zurich Financial Services),Switzerland,Zurich Financial Services AG,168000,78000,90000,2010
ABB Group,Switzerland,Asea Brown Boveri,5500,3500,2000,2012
Abengoa Solar,Spain,Abengoa SA,0,0,0,2012
Accenture (Accenture),Ireland,Accenture plc,304500,160000,144500,2012
Accenture (Accenture),Ireland,Accenture plc,0,0,0,2012
ACE INA,Switzerland,ACE Ltd,281500,121500,160000,2012
Advance America Cash Advance Centers (Grupo Salinas),Mexico,Grupo Salinas,115750,22000,93750,2012
Advanced BioHealing (Shire Plc),UK,Shire Plc,37250,19750,17500,2012
Agrium US,Canada,Agrium Inc,112,0,112,2012
Air Liquide America,France,L'Air Liquide SA,25500,12000,9000,2012
Alcatel-Lucent USA (Alcatel-Lucent),France,Alcatel-Lucent,19000,8000,11000,2012
Alcon Laboratories (Novartis AG),Switzerland,Novartis,8000,2000,6000,2012
Alkermes Inc,Ireland,Alkermes Plc,6000,1000,5000,2012
Allianz of America (Allianz),Germany,Allianz AG Holding,80750,25000,55750,2012
Alstom,France,Alstom SA,0,0,0,2012
AMG Vanadium,Netherlands,AMG Advanced Metallurgical Group,0,0,0,2012
Anheuser-Busch,Belgium,Anheuser-Busch InBev,806381,361381,445000,2012
AON Corp (AON plc),UK,AON PLC,115000,49000,66000,2012
APL Ltd,Singapore,Neptune Orient Lines Ltd,35500,6000,29500,2012
Arcadis US,Netherlands,Arcadis NV,184500,95000,89500,2012
ArcelorMittal USA,Luxembourg,ArcelorMittal,69500,29000,40500,2012
Arch Capital Group (US),UK,Arch Capital Group,9000,2000,7000,2012
AREVA Inc,France,Areva Group,106750,48250,58500,2012
Arkema Inc,France,Arkema,22500,6000,16500,2012
Ashta Chemicals,Mexico,Bigshire Mexico,0,0,0,2012
Astellas US,Japan,Astellas Pharma,85500,44000,41500,2012
AstraZeneca Pharmaceuticals (AstraZeneca PLC),UK,AstraZeneca PLC,640452,296952,343500,2012
Atkins North America,UK,WS Atkins PLC,2750,1500,1250,2012
Atlantic Marine (BAE Systems),UK,BAE Systems,0,0,0,2012
Aviva USA,UK,Aviva PLC,6500,4000,2500,2012
AXA Equitable Life Insurance (AXA),France,AXA,149500,74000,75500,2012
AXIS Specialty US Services (AXIS Capital),UK,AXIS Captial,3000,2000,1000,2012
Bacardi USA,UK,Bacardi Ltd,16500,8000,8500,2012
BAE Systems (BAE Systems),UK,BAE Systems,747000,286000,461000,2012
BancWest Corp (BNP Paribas),France,BNP Paribas,6000,0,6000,2012
Barclays Group US,UK,Barclays plc,104499,23500,80999,2012
Barrick Goldstrike Mines,Canada,Barrick Gold Corp,113500,45000,68500,2012
BASF Corp,Germany,BASF SE,411500,118500,293000,2012
Bayer Corp,Germany,Bayer AG,470000,150000,320000,2012
BBVA Compass,Spain,Banco Bilbao Vizcaya Argentaria,249500,62000,187500,2012
Boehringer Ingelheim Corp,Germany,CH Boehringer Sohn,147750,81750,66000,2012
Bombardier Transportation USA (Bombardier Inc),Canada,Bombardier Inc,13500,12500,1000,2012
BP,UK,BP PLC,207000,58000,149000,2012
Bridgestone Americas,Japan,Bridgestone Corp,70996,26000,44996,2012
Bumble Bee Foods,UK,Lion Capital,20500,5500,15000,2012
Burson-Marsteller (WPP Group),UK,WPP Group,62750,31250,31500,2012
Buzzi Unicem USA,Italy,Buzzi Unicem SpA,6250,-500,6750,2012
CalPortland Co,Japan,Taiheiyo Cement Co,80999,16500,64499,2012
Carmeuse Lime,Netherlands,LVI Holding,15000,5500,9500,2012
Case New Holland,Italy,Fiat SPA,90000,7500,82500,2012
CEMEX Inc,Mexico,CEMEX SA de CV,166500,20200,146300,2012
CGI Technologies & Solutions,Canada,Groupe CGI,128500,61500,67000,2012
Citizens Financial Group,UK,Royal Bank of Scotland Group,150750,112750,37000,2012
Cobham Management Services,UK,Cobham PLC,155500,41500,114000,2012
Commonwealth-Altadis,UK,Imperial Tobacco Group,77000,19500,57500,2012
Converteam Holdings North America,France,Converteam Group SAS,0,0,0,2012
Covidien US,UK,Covidien Ltd,249300,102500,146800,2012
Credit Suisse Securities,Switzerland,Credit Suisse Group,519000,239500,279500,2012
CSL Behring,Australia,CSL Ltd,43000,19000,24000,2012
Daiichi Sankyo Inc,Japan,Daiichi Sanyko,218000,68000,150000,2012
Delphi Automotive,UK,Delphi Automotive,36000,16000,20000,2012
Deutsche Bank Securities,Germany,Deutsche Bank AG,53900,20400,33500,2012
DHL (Deutsche Post AG),Germany,Deutsche Post AG,2000,0,2000,2012
Diageo North America (Diageo PLC),UK,Diageo PLC,118065,58303,59762,2012
Diageo North America/CT (Diageo PLC),UK,Diageo PLC,0,0,0,2012
Direct Energy Inc,UK,Centrica Plc,0,0,0,2012
DRS Technologies,Italy,Finmeccanica SpA,405300,173000,232300,2012
EADS North America,Netherlands,European Aeronautic Defence & Space Co,240600,85000,155600,2012
Eaton Corp (Eaton Corp),Ireland,Eaton Plc,10500,2500,8000,2012
EDF Renewable Energy,France,EDF Group,17150,10000,7150,2012
EDP Renewables NA,Portugal,EDP Renovaveis,7500,4500,3000,2012
Eisai Inc,Japan,Eisai Co Ltd,82500,35000,47500,2012
Elbit Systems of America,Israel,Elbit Systems Ltd,32000,5500,26500,2012
Embraer Aircraft Holdings,Brazil,Embraer-Empresa Brasileira de Aeronautic,9500,3500,6000,2012
EMD Serono Inc,Germany,Merck KGaA,124500,71000,53500,2012
EnCana Oil & Gas USA,Canada,EnCana Corp,0,0,0,2012
Essroc Corp,Italy,Italcementi Group,6500,3500,3000,2012
Experian,UK,Experian plc,426000,99500,326500,2012
Farmers Group (Zurich Insurance Group),Switzerland,Zurich Financial Services AG,189900,38250,151650,2012
First Hawaiian Bank (BNP Paribas),France,BNP Paribas,17500,14500,3000,2012
FirstGroup America (FirstGroup PLC),UK,FirstGroup PLC,0,0,0,2012
Food Lion,Belgium,Delhaize Group,12500,8000,3500,2012
Foster Wheeler,Switzerland,Foster Wheeler PLC,0,0,0,2012
Fresenius Medical Care North America,Germany,Fresenius Medical Care,199398,109500,89898,2012
G4S Government Solutions (G4S plc),UK,G4S plc,0,0,0,2012
G4S Secure Solutions (G4S plc),UK,G4S plc,64000,15500,48500,2012
GDF Suez Energy North America,France,GDF SUEZ,58000,18500,39500,2012
Genentech Inc (Roche Holdings),Switzerland,Roche Holdings,269500,134000,135500,2012
General Cigar Co,Sweden,Scandinavian Tobacco Group,5750,3000,2750,2012
Genzyme Corp (Sanofi),France,Sanofi,21000,10000,11000,2012
GKN Corp,UK,GKN PLC,500,500,0,2012
Glanbia Foods,Ireland,Glanbia PLC,100,0,100,2012
GlaxoSmithKline,UK,GlaxoSmithKline,521250,239000,282250,2012
Glover Park Group (WPP Group),UK,WPP Group,123665,85815,37850,2012
